Date, Open, High, Low, Close, Volume
2016-10-04, 29.00, 29.75, 28.50, 29.00, 2417500
2016-10-03, 29.25, 30.50, 28.50, 29.25, 3318200
2016-09-30, 28.00, 28.50, 27.50, 28.00, 739400
2016-09-29, 27.00, 27.50, 26.50, 27.00, 4118700
2016-09-28, 25.50, 27.00, 25.00, 25.50, 3206900
2016-09-27, 25.25, 25.50, 25.00, 25.25, 577800
2016-09-26, 25.25, 25.75, 25.00, 25.25, 3060400
2016-09-23, 25.75, 26.00, 25.50, 25.75, 590000
2016-09-22, 25.75, 26.00, 25.75, 25.75, 1675100
2016-09-21, 25.75, 26.25, 25.50, 25.75, 1024700
2016-09-20, 26.00, 26.75, 25.75, 26.00, 4847300
2016-09-19, 26.50, 27.50, 26.25, 26.50, 570300
2016-09-16, 26.25, 27.00, 26.25, 26.25, 1659500
2016-09-15, 26.50, 27.50, 26.25, 26.50, 3647100
2016-09-14, 27.50, 28.00, 27.00, 27.50, 4204800
2016-09-13, 27.50, 29.00, 27.00, 27.50, 441000
2016-09-09, 28.25, 29.00, 27.50, 28.25, 450100
2016-09-08, 27.00, 27.75, 26.75, 27.00, 8256800
2016-09-07, 26.75, 27.00, 26.00, 26.75, 1278300
2016-09-06, 26.25, 26.50, 26.00, 26.25, 2975000
2016-09-05, 26.25, 26.50, 26.25, 26.25, 716700
2016-09-02, 26.50, 27.00, 26.25, 26.50, 19454699
2016-09-01, 26.50, 27.00, 26.25, 26.50, 11282500
2016-08-31, 27.75, 28.00, 26.50, 27.75, 24456699
2016-08-30, 25.50, 26.75, 22.50, 25.50, 12438300
2016-08-29, 24.50, 25.00, 24.50, 24.50, 18783801
2016-08-26, 27.00, 27.00, 27.00, 27.00, 41600
2016-08-25, 30.00, 31.00, 29.50, 30.00, 135000
2016-08-24, 32.75, 33.00, 32.50, 32.75, 4125600
2016-08-23, 32.50, 33.00, 32.25, 32.50, 1252300
2016-08-22, 32.25, 32.75, 32.00, 32.25, 2358300
2016-08-19, 32.50, 33.00, 32.50, 32.50, 1051200
2016-08-18, 32.75, 33.00, 32.50, 32.75, 11780400
2016-08-17, 32.75, 33.00, 32.50, 32.75, 8740500
2016-08-16, 32.50, 32.75, 32.50, 32.50, 821200
2016-08-15, 32.50, 32.75, 32.50, 32.50, 664800
2016-08-12, 32.50, 32.75, 32.25, 32.50, 1348700
2016-08-11, 32.50, 33.00, 32.50, 32.50, 1890700
2016-08-10, 32.50, 32.75, 32.50, 32.50, 1593200
2016-08-09, 32.50, 32.75, 32.25, 32.50, 1753800
2016-08-08, 32.25, 33.00, 32.00, 32.25, 433700
2016-08-05, 32.00, 32.50, 31.50, 32.00, 2036700
2016-08-04, 31.50, 32.25, 31.00, 31.50, 1405500
2016-08-03, 31.50, 32.00, 31.25, 31.50, 626600
2016-08-02, 32.00, 32.50, 31.75, 32.00, 2369700
2016-08-01, 32.00, 32.25, 32.00, 32.00, 181300
2016-07-29, 32.00, 32.25, 31.75, 32.00, 676700
2016-07-28, 32.25, 32.75, 31.75, 32.25, 2392500
2016-07-27, 32.50, 33.00, 32.50, 32.50, 2200300
2016-07-26, 32.75, 33.00, 32.50, 32.75, 526000
2016-07-25, 32.25, 32.75, 32.25, 32.25, 917400
2016-07-22, 32.50, 33.00, 32.25, 32.50, 390600
2016-07-21, 32.25, 32.50, 32.00, 32.25, 738300
2016-07-20, 32.25, 33.00, 32.25, 32.25, 1539300
2016-07-19, 32.25, 33.00, 32.25, 32.25, 749300
2016-07-18, 32.00, 32.75, 31.75, 32.00, 172500
2016-07-15, 32.25, 32.75, 32.00, 32.25, 1216800
2016-07-14, 32.25, 33.00, 32.00, 32.25, 3394600
2016-07-13, 32.75, 33.00, 32.00, 32.75, 3121000
2016-07-12, 32.00, 33.00, 31.00, 32.00, 2429300
2016-07-11, 33.00, 33.50, 32.50, 33.00, 1196400
2016-07-08, 33.50, 34.00, 33.25, 33.50, 2801800
2016-07-06, 33.50, 34.25, 33.50, 33.50, 661300
2016-07-05, 33.75, 34.00, 33.75, 33.75, 54300
2016-07-04, 33.50, 34.00, 33.00, 33.50, 5034800
2016-07-01, 33.75, 34.00, 33.50, 33.75, 1611800
2016-06-30, 33.75, 34.50, 33.00, 33.75, 478400
2016-06-29, 33.75, 34.00, 33.50, 33.75, 6237500
2016-06-28, 33.75, 34.75, 33.50, 33.75, 922500
2016-06-27, 34.00, 34.75, 31.50, 34.00, 2251300
2016-06-24, 34.50, 35.00, 34.50, 34.50, 376500
2016-06-23, 34.75, 35.00, 34.75, 34.75, 805200
2016-06-22, 34.75, 35.00, 34.75, 34.75, 1228900
2016-06-21, 35.00, 35.50, 34.75, 35.00, 8232300
2016-06-20, 35.25, 35.75, 35.00, 35.25, 345000
2016-06-17, 35.00, 36.00, 34.75, 35.00, 7962400
2016-06-16, 35.50, 36.00, 35.25, 35.50, 584100
2016-06-15, 35.25, 36.00, 35.00, 35.25, 1897400
2016-06-14, 35.50, 36.25, 35.50, 35.50, 3759000
2016-06-13, 36.00, 36.75, 36.00, 36.00, 487900
2016-06-10, 36.25, 37.00, 36.00, 36.25, 1800400
2016-06-09, 36.00, 37.50, 36.00, 36.00, 4328900
2016-06-08, 36.50, 38.25, 36.50, 36.50, 1837500
2016-06-07, 37.00, 37.75, 36.50, 37.00, 2506900
2016-06-06, 37.50, 38.25, 37.00, 37.50, 2240100
2016-06-03, 37.25, 38.50, 37.00, 37.25, 812400
2016-06-02, 38.25, 41.00, 37.00, 38.25, 4900200
2016-05-31, 38.75, 39.50, 38.00, 38.75, 1261700
2016-05-30, 39.25, 39.50, 38.75, 39.25, 462600
2016-05-27, 39.50, 40.00, 39.00, 39.50, 3085400
2016-05-26, 39.75, 40.00, 39.50, 39.75, 1169300
2016-05-25, 39.25, 40.75, 38.50, 39.25, 3436700
2016-05-24, 40.50, 41.00, 40.50, 40.50, 760900
2016-05-23, 41.00, 41.00, 40.50, 41.00, 2706900
2016-05-20, 40.75, 41.00, 40.50, 40.75, 893900
2016-05-19, 41.00, 41.75, 40.50, 41.00, 1758700
2016-05-18, 41.25, 41.75, 41.00, 41.25, 3679500
2016-05-17, 41.00, 41.50, 41.00, 41.00, 454100
2016-05-16, 41.50, 42.00, 41.25, 41.50, 332700
2016-05-13, 41.75, 42.50, 41.50, 41.75, 3600300
2016-05-12, 41.75, 42.25, 40.75, 41.75, 1258400
2016-05-11, 40.50, 41.00, 40.50, 40.50, 1204300
2016-05-10, 40.00, 41.00, 39.50, 40.00, 2780300
2016-05-09, 39.50, 40.00, 39.50, 39.50, 257400
2016-05-06, 39.75, 41.00, 39.00, 39.75, 617300
2016-05-05, 39.00, 39.50, 36.00, 39.00, 887800
2016-05-04, 39.25, 40.00, 39.00, 39.25, 1707300
2016-05-03, 41.50, 42.00, 40.75, 41.50, 2006300
2016-04-29, 41.50, 41.75, 41.00, 41.50, 1320100
2016-04-28, 41.50, 42.00, 41.25, 41.50, 3235400
2016-04-27, 41.75, 42.50, 39.00, 41.75, 539900
2016-04-26, 42.00, 42.75, 42.00, 42.00, 1632600
2016-04-25, 42.50, 42.75, 42.50, 42.50, 674100
2016-04-22, 42.50, 43.00, 42.50, 42.50, 210400
2016-04-21, 42.75, 43.50, 42.50, 42.75, 2000000
2016-04-20, 42.75, 43.50, 42.50, 42.75, 3026100
2016-04-19, 42.50, 43.00, 42.25, 42.50, 604300
2016-04-18, 42.75, 43.00, 42.00, 42.75, 1381100
2016-04-15, 42.75, 43.25, 42.50, 42.75, 1992600
2016-04-14, 42.75, 43.25, 42.50, 42.75, 754100
2016-04-13, 42.50, 43.00, 42.25, 42.50, 5472600
2016-04-12, 42.50, 43.00, 42.50, 42.50, 3167100
